length,key,number_of_notes,total_measures,time_signature_num,time_signature_den,range,Grade
36,3,195,24,3,8,889.7677435,4
62.5,30,202,21,6,8,528.4423312,4
50,2,159,17,3,4,749.1872173,4
372.5,20,1549,94,2,2,1509.711274,6
119,1,241,30,4,4,1187.697445,4
297.5,16,2100,149,2,4,1353.259397,7
41.5,30,146,21,2,4,619.1770935,4
48,8,104,16,6,8,724.4365081,2
94,25,412,32,3,4,743.3023373,4
129.5,16,498,33,4,4,567.6436802,4
96,8,721,32,6,8,438.8833013,6
42,2,77,14,3,4,528.4423312,2
147,2,397,49,3,4,1269.510798,4
163,16,485,41,4,4,1157.200877,4
212,20,1386,71,6,8,2041.091435,5
24,2,75,8,6,8,456.5167532,2
347,2,1144,87,4,4,1253.103836,6
73,20,267,25,3,4,1186.237465,4
32,1,358,16,2,4,454.3633151,3
72,30,203,24,3,4,701.5839827,2
106,1,239,33,3,4,814.5936087,4
151,1,580,38,2,2,1109.25268,5
49,1,164,25,2,4,587.993154,1
114,20,333,38,6,8,765.2030038,4
102,23,951,34,3,4,981.0958699,5
364,18,2479,182,2,4,2239.318143,8
110,2,751,74,3,8,3005.150705,6
71,2,467,24,3,4,864.2957772,4
173.5,19,665,58,6,8,858.9113311,7
128,1,282,32,4,4,814.5936087,6
175.5,16,779,59,6,8,611.149405,5
334,21,2634,82,4,4,1628.515595,8
207,16,525,52,4,4,782.001141,6
191,19,438,48,4,4,874.0570528,4
106,6,341,35,3,4,905.3597133,6
152,21,1678,38,4,4,765.2030038,6
65.5,1,320,33,2,4,749.1872173,4
52,16,321,35,3,8,1331.506534,4
108,2,228,27,2,2,561.2562548,4
128,1,717,32,4,4,665.7532672,7
158,1,866,40,4,4,3092.309959,7
111,1,705,35,3,4,489.3306768,6
152.5,21,1684,38,4,4,765.2030038,6
32,1,83,8,4,4,500.022478,0
194.5,20,373,49,4,4,1186.237465,6
152,2,1070,38,4,4,1137.950976,8
300,19,836,75,2,2,1711.000571,4
129,10,481,43,6,8,1162.101046,3
130.5,16,536,33,4,4,685.992013,6
84,30,75,21,4,4,444.8838718,4
135,17,326,34,4,4,489.3306768,1
126,6,1183,21,12,8,918.4709448,6
95,30,387,32,3,4,1208.510228,3
96,1,370,24,4,4,327.2534126,2
64,30,235,32,2,4,619.1770935,4
105,1,435,27,4,4,915.6894786,4
148,4,386,37,4,4,1101.24288,3
273,8,746,69,2,2,1056.817437,8
78,2,222,26,3,4,806.583808,4
100.5,12,881,34,6,8,845.3521711,7
370,14,464,124,3,4,880.4144358,7
221,2,2104,74,3,4,1146.509076,6
120,1,505,40,3,4,1518.982314,6
94,2,354,32,3,4,710.57468,4
312,8,1085,78,4,4,2582.020455,7
407.5,16,3191,204,2,4,1353.259397,7
115,1,608,39,3,4,1043.324133,6
224,30,1810,112,2,4,825,7
716,22,2777,239,3,4,2173.807519,8
321.5,12,826,55,12,8,2152.054656,6
96,17,294,32,3,4,822.327523,2
379,2,1037,95,4,4,1269.510798,4
128,2,448,32,4,4,889.7677435,3
162,1,608,54,3,4,749.1872173,5
141,4,330,47,3,4,787.5013943,3
85.5,2,328,29,6,8,1469.982885,5
251.5,2,897,56,9,8,797.5931108,3
979,11,4822,327,3,4,2165.547961,8
297,16,2380,149,2,4,981.0958699,6
400,6,751,102,4,4,1214.684053,7
74,1,245,25,3,4,948.5034022,3
339,18,673,85,4,4,1518.982314,6
107,4,461,27,4,4,549.2551138,6
249,3,448,83,3,4,734.9914425,6
92,3,812,23,4,4,981.0958699,4
343.5,22,2222,85,2,2,1614.969487,6
208,6,1020,52,4,4,1071.568577,3
79,2,110,27,3,4,477.3295358,3
59.5,16,210,15,4,4,581.9155225,4
52,16,322,35,3,8,1331.506534,4
66,1,72,22,3,4,1002.848732,5
136,1,1218,34,4,4,981.0958699,6
107.5,16,317,36,6,8,585.8389218,4
104,18,230,26,4,4,425.2522716,3
85.25,5,990,38,9,16,918.4709448,7
68,3,142,17,4,4,838.8499124,2
97,30,283,49,2,4,1865.533205,6
80,3,630,20,4,4,968.7205153,8
87,16,268,29,3,4,567.6436802,4
499,1,1021,125,2,2,814.5936087,5
131,22,323,44,3,4,1609.305703,4
132,17,1003,44,3,4,959.1952033,7
95,2,382,32,3,4,585.8389218,6
101,30,305,26,4,4,991.5022612,2
52,2,143,18,3,4,1027.826688,3
49,1,125,17,3,4,895.2679968,1
32,2,75,8,4,4,463.8587105,1
96,19,319,32,3,4,834.328664,4
47.75,3,207,24,2,4,914.3504105,4
108,19,444,36,3,4,710.57468,6
78,4,217,26,3,4,932.7666025,4
72,2,308,24,3,4,782.001141,4
159,2,250,53,3,4,734.9914425,6
66,16,207,22,3,4,1064.659072,3
243.25,20,1044,61,4,4,1806.384576,8
97.5,1,348,33,3,4,685.992013,3
153,2,697,51,3,4,1092.252182,4
63,30,176,21,3,4,436.8308976,0
140,23,849,35,4,4,981.0958699,5
79,19,135,20,4,4,1059.731094,4
149,6,697,50,6,8,1092.252182,6
96,17,572,32,3,4,1101.24288,6
40,2,176,20,2,4,666.5726534,4
328,30,1282,82,4,4,981.0958699,5
32,17,50,8,4,4,490.326104,2
191,1,300,64,3,4,1321.040093,4
48,16,137,12,4,4,523.8423471,2
85,2,219,29,3,4,685.992013,4
135,9,602,45,3,4,1186.237465,6
44.5,17,243,23,2,4,1101.24288,4
74,1,176,19,4,4,654.8029339,6
96,17,498,32,3,4,845.0204652,4
365,22,928,122,3,4,1338.642456,7
127,16,473,64,2,4,633.0500715,7
72,1,218,24,3,4,782.001141,3
143,4,263,36,4,4,1101.24288,4
96,17,536,32,3,4,1064.659072,6
92,17,800,23,4,4,858.9113311,6
163,1,506,82,2,4,782.001141,4
123,10,850,40,3,4,2186.593341,6
96,30,784,64,3,8,964.095372,5
63,9,204,16,4,4,463.2573958,0
126,3,423,42,3,4,926.0311899,4
113,16,426,57,2,4,567.6436802,4
156,2,390,52,3,4,685.992013,3
264,16,552,66,4,4,1220.511369,2
43.5,19,318,29,3,8,988.231791,4
369,14,2511,93,4,4,1433.728388,6
250,3,688,63,4,4,905.3597133,5
117.5,2,571,40,6,8,685.992013,5
60,17,300,20,3,4,770,5
144,6,1012,36,4,4,1153.696449,6
95,5,280,32,3,4,970.1392084,3
72,16,220,24,3,4,792.6929421,3
227,2,733,76,3,4,1101.24288,6
47,17,178,16,3,4,770,4
78,1,328,26,3,4,660.5200466,3
130,3,1089,33,2,2,918.4709448,7
123,30,294,41,3,4,549.2551138,6
136,30,1044,34,4,4,968.7205153,7
